opening_eco,opening_name,opening_ply,Opening_ID,Opening_Family,Complexity_Level
B52,Sicilian Defense: Canal Attack |  Main Line,6,28,Sicilian Defense,Intermediate
B27,Sicilian Defense,3,29,Sicilian Defense,Basic
D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6,30,Queen's Gambit Accepted,Intermediate
B06,Robatsch (Modern) Defense,4,31,Robatsch (Modern) Defense,Intermediate
D00,Blackmar-Diemer Gambit: Tartakower Variation,10,32,Blackmar-Diemer Gambit,Advanced
A45,Indian Game,2,33,Indian Game,Basic
B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17,34,Sicilian Defense,Advanced
A21,English Opening: King's English Variation |  Reversed Sicilian,3,35,English Opening,Basic
B70,Sicilian Defense: Dragon Variation,10,36,Sicilian Defense,Advanced
B23,Sicilian Defense: Closed Variation,3,37,Sicilian Defense,Basic
B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17,38,Sicilian Defense,Advanced
B01,Scandinavian Defense,2,39,Scandinavian Defense,Basic
C00,French Defense: Normal Variation,3,40,French Defense,Basic
C21,King's Pawn Game: Beyer Gambit,4,41,King's Pawn Game,Intermediate
A80,Dutch Defense,2,42,Dutch Defense,Basic
A20,English Opening: King's English Variation,2,43,English Opening,Basic
A04,Zukertort Opening: Ross Gambit,2,44,Zukertort Opening,Basic
C26,Vienna Game: Mengarini Variation,5,45,Vienna Game,Intermediate
C41,Philidor Defense: Larsen Variation,8,46,Philidor Defense,Advanced
C44,Scotch Game,5,47,Scotch Game,Intermediate
C41,Philidor Defense: Lopez Countergambit,6,48,Philidor Defense,Intermediate
A40,Modern Defense,2,49,Modern Defense,Basic
E10,Blumenfeld Countergambit #2,6,50,Blumenfeld Countergambit #2,Intermediate
A04,Zukertort Opening: Kingside Fianchetto,2,51,Zukertort Opening,Basic
C00,French Defense: Queen's Knight,3,52,French Defense,Basic
D00,Queen's Pawn Game: Mason Attack,3,53,Queen's Pawn Game,Basic
A41,Queen's Pawn,2,54,Queen's Pawn,Basic
C02,French Defense: Advance |  Steinitz Variation,7,55,French Defense,Intermediate
C01,French Defense: Exchange Variation,5,56,French Defense,Intermediate
D02,Queen's Pawn Game: London System,5,57,Queen's Pawn Game,Intermediate
C00,French Defense: Chigorin Variation,3,58,French Defense,Basic
C00,French Defense: La Bourdonnais Variation,3,59,French Defense,Basic
A10,English Opening: Anglo-Lithuanian Variation,2,60,English Opening,Basic
A00,Crab Opening,3,61,Crab Opening,Basic
A40,Queen's Pawn,1,62,Queen's Pawn,Basic
C18,French Defense: Winawer Variation |  Advance Variation #2,11,63,French Defense,Advanced
D00,Queen's Pawn Game: Steinitz Countergambit,4,64,Queen's Pawn Game,Intermediate
A47,Queen's Indian Defense,4,65,Queen's Indian Defense,Intermediate
C50,Italian Game: Giuoco Pianissimo |  Normal,8,66,Italian Game,Advanced
C10,French Defense: Marshall Variation,6,67,French Defense,Intermediate
C45,Scotch Game,7,68,Scotch Game,Intermediate
C02,French Defense: Advance Variation |  Main Line,11,69,French Defense,Advanced
D80,Gruenfeld Defense,6,70,Gruenfeld Defense,Intermediate
C10,French Defense: Rubinstein Variation |  Fort Knox Variation,10,71,French Defense,Advanced
D30,Queen's Gambit Declined: Traditional Variation,7,72,Queen's Gambit Declined,Intermediate
D20,Queen's Gambit Accepted: Old Variation,5,73,Queen's Gambit Accepted,Intermediate
D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9,74,Queen's Gambit Declined,Advanced
A46,Yusupov-Rubinstein System,5,75,Yusupov-Rubinstein System,Intermediate
D31,Queen's Gambit Declined: Queen's Knight Variation,5,76,Queen's Gambit Declined,Intermediate
C64,Ruy Lopez: Classical Variation,6,77,Ruy Lopez,Intermediate
C64,Ruy Lopez: Classical Variation |  Central Variation,7,78,Ruy Lopez,Intermediate
C24,Bishop's Opening: Ponziani Gambit,5,79,Bishop's Opening,Intermediate
A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5,80,Benoni Defense,Intermediate
A08,King's Indian Attack: French Variation,6,81,King's Indian Attack,Intermediate
B00,Nimzowitsch Defense: Mikenas Variation,4,82,Nimzowitsch Defense,Intermediate
C50,Italian Game,5,83,Italian Game,Intermediate
B03,Alekhine Defense #2,5,84,Alekhine Defense #2,Intermediate
B29,Sicilian Defense: Nimzowitsch Variation,4,85,Sicilian Defense,Intermediate
C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11,86,Italian Game,Advanced
B02,Alekhine Defense: Maroczy Variation,3,87,Alekhine Defense,Basic
B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,7,88,Alekhine Defense,Intermediate
B13,Caro-Kann Defense: Exchange Variation,5,89,Caro-Kann Defense,Intermediate
D00,Queen's Pawn Game #2,3,90,Queen's Pawn Game #2,Basic
B57,Sicilian Defense: Modern Variations |  Main Line,8,91,Sicilian Defense,Advanced
B00,Goldsmith Defense,2,92,Goldsmith Defense,Basic
E20,Nimzo-Indian Defense,6,93,Nimzo-Indian Defense,Intermediate
B02,Alekhine Defense,2,94,Alekhine Defense,Basic
E11,Bogo-Indian Defense: Exchange Variation,8,95,Bogo-Indian Defense,Advanced
B02,Alekhine Defense: Saemisch Attack,5,96,Alekhine Defense,Intermediate
C40,King's Knight Opening,3,97,King's Knight Opening,Basic
D30,Queen's Gambit Declined,4,98,Queen's Gambit Declined,Intermediate
C11,French Defense: Classical Variation |  Steinitz Variation,7,99,French Defense,Intermediate
B02,Alekhine Defense: Two Pawn Attack,5,100,Alekhine Defense,Intermediate
C28,Vienna Game: Vienna Gambit,5,101,Vienna Game,Intermediate
B06,Modern Defense,2,102,Modern Defense,Basic
B01,Scandinavian Defense: Panov Transfer,6,103,Scandinavian Defense,Intermediate
B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5,104,Sicilian Defense,Intermediate
A56,Benoni Defense,4,105,Benoni Defense,Intermediate
B27,Sicilian Defense: Hyperaccelerated Dragon,4,106,Sicilian Defense,Intermediate
C65,Ruy Lopez: Berlin Defense #2,6,107,Ruy Lopez,Intermediate
B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11,108,Sicilian Defense,Advanced
B50,Sicilian Defense: Delayed Alapin,5,109,Sicilian Defense,Intermediate
B51,Sicilian Defense: Canal-Sokolsky Attack,5,110,Sicilian Defense,Intermediate
E00,Amar Opening,1,111,Amar Opening,Basic
C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8,112,Ruy Lopez,Advanced
B50,Sicilian Defense,4,113,Sicilian Defense,Intermediate
B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6,114,Caro-Kann Defense,Intermediate
B22,Sicilian Defense: Alapin Variation,3,115,Sicilian Defense,Basic
B40,Sicilian Defense: French Variation,4,116,Sicilian Defense,Intermediate
A45,Paleface Attack,3,117,Paleface Attack,Basic
B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6,118,Sicilian Defense,Intermediate
B18,Caro-Kann Defense: Classical Variation |  Flohr Variation,11,119,Caro-Kann Defense,Advanced
C61,Ruy Lopez: Bird Variation,6,120,Ruy Lopez,Intermediate
B90,Sicilian Defense: Najdorf Variation |  Adams Attack,11,121,Sicilian Defense,Advanced
C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7,122,Italian Game,Intermediate
C78,Ruy Lopez: Morphy Defense #2,12,123,Ruy Lopez,Advanced
B30,Sicilian Defense: Old Sicilian,4,124,Sicilian Defense,Intermediate
B10,Caro-Kann Defense,2,125,Caro-Kann Defense,Basic
B20,Sicilian Defense,2,126,Sicilian Defense,Basic
A00,Hungarian Opening,1,127,Hungarian Opening,Basic
D00,Queen's Pawn Game #3,4,128,Queen's Pawn Game #3,Intermediate
C22,Center Game: Berger Variation,8,129,Center Game,Advanced
C54,Italian Game: Giuoco Piano |  Greco's Attack,13,130,Italian Game,Advanced
C68,Ruy Lopez: Exchange Variation,7,131,Ruy Lopez,Intermediate
B12,Caro-Kann Defense,3,132,Caro-Kann Defense,Basic
C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9,133,Ruy Lopez,Advanced
C22,Center Game: Normal Variation,6,134,Center Game,Intermediate
A40,Englund Gambit Declined |  Reversed French,3,135,Englund Gambit Declined,Basic
C50,Giuoco Piano,6,136,Giuoco Piano,Intermediate
A42,Sicilian Defense: Hyperaccelerated Fianchetto,5,137,Sicilian Defense,Intermediate
C70,Ruy Lopez: Morphy Defense |  Caro Variation,8,138,Ruy Lopez,Advanced
C41,Philidor Defense #4,6,139,Philidor Defense #4,Intermediate
C42,Petrov's Defense,4,140,Petrov's Defense,Intermediate
D07,Queen's Gambit Refused: Chigorin Defense #2,5,141,Queen's Gambit Refused,Intermediate
B27,Sicilian Defense: Jalalabad Variation,4,142,Sicilian Defense,Intermediate
C02,French Defense: Advance Variation |  Milner-Barry Gambit,11,143,French Defense,Advanced
B32,Sicilian Defense: Open #3,7,144,Sicilian Defense,Intermediate
C42,Russian Game: Damiano Variation |  Kholmov Gambit,8,145,Russian Game,Advanced
A22,English Opening: Carls-Bremen System,5,146,English Opening,Intermediate
C46,Four Knights Game,6,147,Four Knights Game,Intermediate
B07,Pirc Defense #4,2,148,Pirc Defense #4,Basic
A06,Zukertort Opening: Old Indian Attack,3,149,Zukertort Opening,Basic
A04,Zukertort Opening: Sicilian Invitation,2,150,Zukertort Opening,Basic
C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4,151,King's Pawn Game,Intermediate
B07,King's Pawn Game: Maroczy Defense,4,152,King's Pawn Game,Intermediate
C42,Russian Game: Damiano Variation,6,153,Russian Game,Intermediate
C77,Ruy Lopez: Morphy Defense |  Mackenzie Variation,9,154,Ruy Lopez,Advanced
B00,St. George Defense,2,155,St. George Defense,Basic
A22,English Opening: King's English Variation |  Two Knights Variation,4,156,English Opening,Intermediate
C60,Ruy Lopez,5,157,Ruy Lopez,Intermediate
C41,Philidor Defense #2,4,158,Philidor Defense #2,Intermediate
C40,King's Pawn Game: McConnell Defense,4,159,King's Pawn Game,Intermediate
C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9,160,Italian Game,Advanced
B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5,161,Nimzowitsch Defense,Intermediate
A07,King's Indian Attack: Keres Variation #2,4,162,King's Indian Attack,Intermediate
A10,English Opening: Anglo-Scandinavian Defense,2,163,English Opening,Basic
B40,Sicilian Defense: Marshall Counterattack,6,164,Sicilian Defense,Intermediate
C02,French Defense: Advance Variation #4,6,165,French Defense,Intermediate
E20,Nimzo-Indian Defense #2,5,166,Nimzo-Indian Defense #2,Intermediate
A02,Bird Opening,1,167,Bird Opening,Basic
C58,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,11,168,Italian Game,Advanced
A00,Hungarian Opening: Indian Defense,2,169,Hungarian Opening,Basic
B00,Owen Defense,2,170,Owen Defense,Basic
A03,Bird Opening,2,171,Bird Opening,Basic
B54,Sicilian Defense,5,172,Sicilian Defense,Intermediate
B12,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit,11,173,Caro-Kann Defense,Advanced
D03,Queen's Pawn Game: Torre Attack,5,174,Queen's Pawn Game,Intermediate
B01,Scandinavian Defense: Icelandic-Palme Gambit,6,175,Scandinavian Defense,Intermediate
D31,Semi-Slav Defense: Noteboom Variation,8,176,Semi-Slav Defense,Advanced
C69,Ruy Lopez: Exchange Variation |  Normal Variation,9,177,Ruy Lopez,Advanced
C40,King's Pawn Game: Damiano Defense,4,178,King's Pawn Game,Intermediate
D41,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation,18,179,Queen's Gambit Declined,Advanced
E20,Nimzo-Indian Defense: Ragozin Variation,8,180,Nimzo-Indian Defense,Advanced
A31,English Opening: Symmetrical Variation |  Anti-Benoni Variation,5,181,English Opening,Intermediate
D46,Semi-Slav Defense: Chigorin Defense,12,182,Semi-Slav Defense,Advanced
B27,Sicilian Defense: Quinteros Variation,4,183,Sicilian Defense,Intermediate
C44,King's Pawn Game: Dresden Opening,5,184,King's Pawn Game,Intermediate
A40,English Defense #2,2,185,English Defense #2,Basic
C00,French Defense: Steinitz Attack,3,186,French Defense,Basic
C34,King's Gambit Accepted |  Fischer Defense,6,187,King's Gambit Accepted,Intermediate
A03,Bird Opening: Dutch Variation,2,188,Bird Opening,Basic
C46,Four Knights Game: Gunsberg Variation,7,189,Four Knights Game,Intermediate
C48,Four Knights Game: Ranken Variation,9,190,Four Knights Game,Advanced
C34,King's Gambit Accepted |  Schallopp Defense,6,191,King's Gambit Accepted,Intermediate
C48,Four Knights Game: Spanish Variation |  Classical Variation,8,192,Four Knights Game,Advanced
C42,Petrov's Defense #5,8,193,Petrov's Defense #5,Advanced
C20,King's Pawn Opening: 2.b3,3,194,King's Pawn Opening,Basic
C42,Russian Game: Cochrane Gambit,7,195,Russian Game,Intermediate
C47,Four Knights Game: Italian Variation |  Noa Gambit,9,196,Four Knights Game,Advanced
C42,Russian Game: Urusov Gambit,5,197,Russian Game,Intermediate
A00,Polish Opening,1,198,Polish Opening,Basic
B24,Sicilian Defense: Closed Variation |  Fianchetto Variation,5,199,Sicilian Defense,Intermediate
A45,Indian Game: Tartakower Attack,3,200,Indian Game,Basic
C67,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,8,201,Ruy Lopez,Advanced
B11,Caro-Kann Defense,4,202,Caro-Kann Defense,Intermediate
C60,Ruy Lopez: Cozio Defense,6,203,Ruy Lopez,Intermediate
E61,Indian Game: West Indian Defense,4,204,Indian Game,Intermediate
C53,Italian Game: Classical Variation |  Closed Variation,8,205,Italian Game,Advanced
C57,Italian Game: Two Knights Defense |  Traxler Counterattack,8,206,Italian Game,Advanced
C50,Italian Game: Hungarian Defense,6,207,Italian Game,Intermediate
C23,Bishop's Opening,3,208,Bishop's Opening,Basic
C44,Ponziani Opening,5,209,Ponziani Opening,Intermediate
C42,Petrov's Defense #2,5,210,Petrov's Defense #2,Intermediate
C45,Scotch Game: Classical Variation,8,211,Scotch Game,Advanced
B96,Sicilian Defense: Najdorf Variation,13,212,Sicilian Defense,Advanced
C53,Italian Game: Classical Variation #2,7,213,Italian Game,Intermediate
C54,Italian Game: Giuoco Piano |  Aitken Variation,19,214,Italian Game,Advanced
A05,King's Indian Attack: Symmetrical Defense,4,215,King's Indian Attack,Intermediate
D92,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack,9,216,Gruenfeld Defense,Advanced
B21,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation,6,217,Sicilian Defense,Intermediate
B12,Caro-Kann Defense: Advance Variation,5,218,Caro-Kann Defense,Intermediate
A49,East Indian Defense,4,219,East Indian Defense,Intermediate
A04,Zukertort Opening: Queenside Fianchetto Variation,2,220,Zukertort Opening,Basic
C37,King's Gambit Accepted |  King's Knight Gambit,7,221,King's Gambit Accepted,Intermediate
A09,Reti Opening: Reti Accepted,4,222,Reti Opening,Intermediate
B90,Sicilian Defense: Najdorf Variation,10,223,Sicilian Defense,Advanced
A01,Nimzo-Larsen Attack: Modern Variation,2,224,Nimzo-Larsen Attack,Basic
B00,King's Pawn Game: Nimzowitsch Defense,3,225,King's Pawn Game,Basic
D00,Queen's Pawn Game: Chigorin Variation,3,226,Queen's Pawn Game,Basic
C21,Center Game #2,3,227,Center Game #2,Basic
C00,French Defense: Pelikan Variation,5,228,French Defense,Intermediate
C01,French Defense: Mediterranean Defense,4,229,French Defense,Intermediate
D02,Queen's Pawn Game: Chigorin Variation,4,230,Queen's Pawn Game,Intermediate
C44,Ponziani Opening: Romanishin Variation,6,231,Ponziani Opening,Intermediate
C20,King's Pawn Game: Wayward Queen Attack,3,232,King's Pawn Game,Basic
D02,Queen's Pawn Game: Symmetrical Variation,4,233,Queen's Pawn Game,Intermediate
C41,Philidor Defense: Exchange Variation #2,7,234,Philidor Defense,Intermediate
C88,Ruy Lopez: Closed Variations |  Rosen Attack,15,235,Ruy Lopez,Advanced
A46,Torre Attack #2,3,236,Torre Attack #2,Basic
A00,Creepy Crawly Formation: Classical Defense,4,237,Creepy Crawly Formation,Intermediate
B34,Sicilian Defense: Accelerated Dragon |  Modern Variation,9,238,Sicilian Defense,Advanced
C40,Elephant Gambit,4,239,Elephant Gambit,Intermediate
A01,Nimzo-Larsen Attack: Classical Variation,2,240,Nimzo-Larsen Attack,Basic
C03,French Defense: Tarrasch Variation,5,241,French Defense,Intermediate
B00,Caro-Kann Defense: Hillbilly Attack,3,242,Caro-Kann Defense,Basic
C40,Latvian Gambit,4,243,Latvian Gambit,Intermediate
A00,Global Opening,3,244,Global Opening,Basic
C33,King's Gambit Accepted |  Bishop's Gambit |  Lopez Defense,6,245,King's Gambit Accepted,Intermediate
C33,King's Gambit Accepted |  Bishop's Gambit,5,246,King's Gambit Accepted,Intermediate
C55,Italian Game: Two Knights Defense,6,247,Italian Game,Intermediate
B02,Alekhine Defense: Scandinavian Variation,4,248,Alekhine Defense,Intermediate
B06,Modern Defense: Geller's System,7,249,Modern Defense,Intermediate
B03,Alekhine Defense,6,250,Alekhine Defense,Intermediate
B10,Caro-Kann Defense: Accelerated Panov Attack,3,251,Caro-Kann Defense,Basic
B01,Scandinavian Defense: Modern Variation #2,4,252,Scandinavian Defense,Intermediate
E00,Indian Game: East Indian Defense,4,253,Indian Game,Intermediate
C11,French Defense: Steinitz Variation #2,11,254,French Defense,Advanced
A45,Trompowsky Attack,3,255,Trompowsky Attack,Basic
A40,Englund Gambit,2,256,Englund Gambit,Basic
A48,London System,5,257,London System,Intermediate
A11,English Opening: Caro-Kann Defensive System,2,258,English Opening,Basic
A81,Dutch Defense: Fianchetto Attack,3,259,Dutch Defense,Basic
B05,Alekhine Defense: Modern Variation |  Main Line,8,260,Alekhine Defense,Advanced
C41,Philidor Defense: Hanham Variation,6,261,Philidor Defense,Intermediate
B54,Sicilian Defense #2,6,262,Sicilian Defense #2,Intermediate
C00,French Defense: Schlechter Variation,5,263,French Defense,Intermediate
B53,Sicilian Defense: Chekhover Variation,7,264,Sicilian Defense,Intermediate
B06,Modern Defense: Mongredien Defense #2,6,265,Modern Defense,Intermediate
B08,Pirc Defense: Classical Variation,8,266,Pirc Defense,Advanced
B06,Modern Defense: Three Pawns Attack,5,267,Modern Defense,Intermediate
C30,King's Gambit Declined |  Queen's Knight Defense,4,268,King's Gambit Declined,Intermediate
A10,English Opening: Great Snake Variation,2,269,English Opening,Basic
A15,English Opening: Anglo-Indian Defense,2,270,English Opening,Basic
B43,Sicilian Defense: Kan Variation |  Wing Attack,10,271,Sicilian Defense,Advanced
C21,Danish Gambit Accepted |  Classical Defense,10,272,Danish Gambit Accepted,Advanced
A00,Mieses Opening,1,273,Mieses Opening,Basic
B00,Carr Defense,2,274,Carr Defense,Basic
C07,French Defense: Tarrasch Variation |  Open System,6,275,French Defense,Intermediate
A34,English Opening: Symmetrical Variation |  Normal Variation,3,276,English Opening,Basic
D08,Queen's Gambit Refused: Albin Countergambit |  Normal Line,7,277,Queen's Gambit Refused,Intermediate
A30,English Opening: Symmetrical Variation,2,278,English Opening,Basic
E61,King's Indian Defense,6,279,King's Indian Defense,Intermediate
A08,King's Indian Attack,4,280,King's Indian Attack,Intermediate
A13,English Opening: Agincourt Defense,2,281,English Opening,Basic
D11,Slav Defense: Bonet Gambit,7,282,Slav Defense,Intermediate
D50,Queen's Gambit Declined: Modern Variation,7,283,Queen's Gambit Declined,Intermediate
A73,Benoni Defense: Classical Variation |  Main Line,17,284,Benoni Defense,Advanced
D35,Queen's Gambit Declined: Exchange Variation |  Positional Variation #2,9,285,Queen's Gambit Declined,Advanced
A01,Nimzo-Larsen Attack: Modern Variation #4,5,286,Nimzo-Larsen Attack,Intermediate
D31,Semi-Slav Defense: Accelerated Move Order,6,287,Semi-Slav Defense,Intermediate
C44,Ponziani Opening: Jaenisch Counterattack,6,288,Ponziani Opening,Intermediate
D35,Queen's Gambit Declined: Exchange Variation |  Positional Variation,10,289,Queen's Gambit Declined,Advanced
D08,Queen's Gambit Refused: Albin Countergambit,4,290,Queen's Gambit Refused,Intermediate
D21,Queen's Gambit Accepted: Rosenthal Variation,6,291,Queen's Gambit Accepted,Intermediate
C21,Center Game,5,292,Center Game,Intermediate
C42,Russian Game: Three Knights Game,5,293,Russian Game,Intermediate
B18,Caro-Kann Defense: Classical Variation,8,294,Caro-Kann Defense,Advanced
C53,Italian Game: Classical Variation |  Center Attack,9,295,Italian Game,Advanced
C78,Ruy Lopez: Morphy Defense |  Neo-Arkhangelsk Variation,10,296,Ruy Lopez,Advanced
C70,Ruy Lopez: Morphy Defense |  Graz Variation,10,297,Ruy Lopez,Advanced
C53,Italian Game: Classical Variation |  Giuoco Pianissimo,9,298,Italian Game,Advanced
C20,King's Pawn Game: Macleod Attack,3,299,King's Pawn Game,Basic
C20,Bishop's Opening: Boi Variation,4,300,Bishop's Opening,Intermediate
C40,Elephant Gambit: Paulsen Countergambit,6,301,Elephant Gambit,Intermediate
C15,French Defense: Winawer Variation |  Winckelmann-Riemer Gambit,7,302,French Defense,Intermediate
C00,French Defense: Two Knights Variation,5,303,French Defense,Intermediate
C46,Three Knights Opening,5,304,Three Knights Opening,Intermediate
C26,Vienna Game: Falkbeer Variation,4,305,Vienna Game,Intermediate
C70,Ruy Lopez,6,306,Ruy Lopez,Intermediate
C48,Four Knights Game: Spanish Variation,7,307,Four Knights Game,Intermediate
B00,Goldsmith Defense: Picklepuss Defense,4,308,Goldsmith Defense,Intermediate
A00,Ware Opening,1,309,Ware Opening,Basic
B06,Modern Defense: Standard Defense,6,310,Modern Defense,Intermediate
A10,English Opening: Anglo-Scandinavian Defense |  Schulz Gambit,4,311,English Opening,Intermediate
B23,Sicilian Defense: Grand Prix Attack,5,312,Sicilian Defense,Intermediate
A01,Nimzo-Larsen Attack: English Variation,2,313,Nimzo-Larsen Attack,Basic
B01,Scandinavian Defense: Marshall Variation,6,314,Scandinavian Defense,Intermediate
B09,Pirc Defense: Austrian Attack |  Unzicker Attack,11,315,Pirc Defense,Advanced
A01,Nimzo-Larsen Attack,1,316,Nimzo-Larsen Attack,Basic
A52,Budapest Defense: Adler Variation,7,317,Budapest Defense,Intermediate
B01,Scandinavian Defense: Modern Variation,5,318,Scandinavian Defense,Intermediate
A01,Nimzo-Larsen Attack: Symmetrical Variation,2,319,Nimzo-Larsen Attack,Basic
B00,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,5,320,Nimzowitsch Defense,Intermediate
E90,King's Indian Defense: Normal Variation |  Rare Defenses,9,321,King's Indian Defense,Advanced
B23,Sicilian Defense: Closed,4,322,Sicilian Defense,Intermediate
A06,Reti Opening,2,323,Reti Opening,Basic
A04,Zukertort Opening: Slav Invitation,2,324,Zukertort Opening,Basic
A15,English Opening: Anglo-Indian Defense |  King's Indian Formation,4,325,English Opening,Intermediate
B15,Caro-Kann Defense: Alekhine Gambit,9,326,Caro-Kann Defense,Advanced
C50,Italian Game: Giuoco Pianissimo,7,327,Italian Game,Intermediate
D17,Slav Defense: Czech Variation,10,328,Slav Defense,Advanced
C41,Philidor Defense: Exchange Variation,8,329,Philidor Defense,Advanced
D01,Richter-Veresov Attack,5,330,Richter-Veresov Attack,Intermediate
D00,Blackmar-Diemer Gambit: Teichmann Variation,10,331,Blackmar-Diemer Gambit,Advanced
D20,Queen's Gambit Accepted,4,332,Queen's Gambit Accepted,Intermediate
D10,Slav Defense #2,5,333,Slav Defense #2,Intermediate
A43,Franco-Benoni Defense,5,334,Franco-Benoni Defense,Intermediate
A65,Benoni Defense: King's Pawn Line,11,335,Benoni Defense,Advanced
C02,French Defense: Advance Variation #2,7,336,French Defense,Intermediate
C02,French Defense: Advance Variation,8,337,French Defense,Advanced
C07,French Defense: Tarrasch Variation |  Open System |  Suechting Line,7,338,French Defense,Intermediate
A04,Zukertort Opening: Quiet System,3,339,Zukertort Opening,Basic
C41,Philidor Defense: Nimzowitsch Variation,7,340,Philidor Defense,Intermediate
A06,Zukertort Opening: Reversed Mexican Defense,3,341,Zukertort Opening,Basic
C46,Four Knights Game: Halloween Gambit,7,342,Four Knights Game,Intermediate
B22,Sicilian Defense: Alapin Variation |  Smith-Morra Declined,8,343,Sicilian Defense,Advanced
B33,Sicilian Defense: Lasker-Pelikan Variation |  Sveshnikov Variation |  Chelyabinsk Variation,17,344,Sicilian Defense,Advanced
D02,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,5,345,Queen's Pawn Game,Intermediate
C45,Scotch Game: Potter Variation,9,346,Scotch Game,Advanced
A67,Benoni Defense: Taimanov Variation,15,347,Benoni Defense,Advanced
C42,Russian Game: Classical Attack |  Staunton Variation,16,348,Russian Game,Advanced
C62,Ruy Lopez: Steinitz Defense,6,349,Ruy Lopez,Intermediate
D94,Gruenfeld Defense: Three Knights Variation |  Burille Variation,9,350,Gruenfeld Defense,Advanced
D37,Queen's Gambit Declined: Three Knights Variation,7,351,Queen's Gambit Declined,Intermediate
B17,Caro-Kann Defense: Karpov Variation |  Tiviakov-Fischer Attack,12,352,Caro-Kann Defense,Advanced
E21,Nimzo-Indian Defense: Three Knights Variation,7,353,Nimzo-Indian Defense,Intermediate
B33,Sicilian Defense: Lasker-Pelikan Variation |  Exchange Variation,11,354,Sicilian Defense,Advanced
A99,Dutch Defense: Classical Variation |  Ilyin-Zhenevsky Variation |  Modern Main Line,15,355,Dutch Defense,Advanced
B09,Pirc Defense: Austrian Attack |  Weiss Variation,11,356,Pirc Defense,Advanced
